2020-10-11T22:10:50-04:00
Running AllocatorBenchmarks.exe
Run on (4 X 3392 MHz CPU s)
CPU Caches:
  L1 Data 32 KiB (x4)
  L1 Instruction 32 KiB (x4)
  L2 Unified 256 KiB (x4)
  L3 Unified 6144 KiB (x1)
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"BM_Malloc/32/1",10000000,56.6545,57.8125,ns,,,,,
"BM_Malloc/64/1",10000000,57.3805,57.8125,ns,,,,,
"BM_Malloc/512/1",11200000,58.3251,58.5938,ns,,,,,
"BM_Malloc/4096/1",11200000,58.1399,58.5938,ns,,,,,
"BM_Malloc/32768/1",2986667,237.206,235.421,ns,,,,,
"BM_Malloc/262144/1",2986667,235.77,235.421,ns,,,,,
"BM_Malloc/2097152/1",64000,11382.5,11230.5,ns,,,,,
"BM_Malloc/16777216/1",64000,12041.4,11474.6,ns,,,,,
"BM_Malloc/32/8",1493333,506.802,502.232,ns,,,,,
"BM_Malloc/64/8",1493333,459.603,460.38,ns,,,,,
"BM_Malloc/512/8",1544828,454.572,445.033,ns,,,,,
"BM_Malloc/4096/8",1493333,478.254,481.306,ns,,,,,
"BM_Malloc/32768/8",407273,1622.2,1611.33,ns,,,,,
"BM_Malloc/262144/8",373333,1818.02,1841.52,ns,,,,,
"BM_Malloc/2097152/8",7467,93951.1,94164.3,ns,,,,,
"BM_Malloc/16777216/8",7467,95120,96256.9,ns,,,,,
"BM_Malloc/32/64",172308,4123.15,4171.31,ns,,,,,
"BM_Malloc/64/64",172308,4042.09,3989.95,ns,,,,,
"BM_Malloc/512/64",154483,4468.96,4450.33,ns,,,,,
"BM_Malloc/4096/64",112000,4925.83,4882.81,ns,,,,,
"BM_Malloc/32768/64",56000,12172.2,12276.8,ns,,,,,
"BM_Malloc/262144/64",8960,84468.8,85449.2,ns,,,,,
"BM_Malloc/2097152/64",896,729382,732422,ns,,,,,
"BM_Malloc/16777216/64",896,739387,749860,ns,,,,,
"BM_Malloc/32/256",40727,17034.8,16880.7,ns,,,,,
"BM_Malloc/64/256",40727,17083,16880.7,ns,,,,,
"BM_Malloc/512/256",49778,14213.7,14439.1,ns,,,,,
"BM_Malloc/4096/256",34462,20598.4,20856.3,ns,,,,,
"BM_Malloc/32768/256",11200,59927.3,59988.8,ns,,,,,
"BM_Malloc/262144/256",448,1.48817e+06,1.46484e+06,ns,,,,,
"BM_Malloc/2097152/256",249,2.9195e+06,2.9493e+06,ns,,,,,
"BM_Malloc/16777216/256",236,3.04579e+06,3.04555e+06,ns,,,,,
"BM_LinearAllocator/32/1",74666667,9.71024,9.83538,ns,,,,,
"BM_LinearAllocator/64/1",64000000,9.46623,9.27734,ns,,,,,
"BM_LinearAllocator/512/1",64000000,9.51219,9.52148,ns,,,,,
"BM_LinearAllocator/4096/1",74666667,9.65253,9.83538,ns,,,,,
"BM_LinearAllocator/32768/1",64000000,9.47905,9.27734,ns,,,,,
"BM_LinearAllocator/262144/1",74666667,9.43753,9.41685,ns,,,,,
"BM_LinearAllocator/2097152/1",74666667,9.39997,9.41685,ns,,,,,
"BM_LinearAllocator/16777216/1",74666667,9.53147,9.62612,ns,,,,,
"BM_LinearAllocator/32/8",11200000,61.3434,61.3839,ns,,,,,
"BM_LinearAllocator/64/8",11200000,59.9146,58.5938,ns,,,,,
"BM_LinearAllocator/512/8",11200000,60.5785,59.9888,ns,,,,,
"BM_LinearAllocator/4096/8",11200000,60.9024,59.9888,ns,,,,,
"BM_LinearAllocator/32768/8",11200000,61.4294,61.3839,ns,,,,,
"BM_LinearAllocator/262144/8",10000000,60.0119,60.9375,ns,,,,,
"BM_LinearAllocator/2097152/8",11200000,59.7851,59.9888,ns,,,,,
"BM_LinearAllocator/16777216/8",11200000,60.0741,59.9888,ns,,,,,
"BM_LinearAllocator/32/64",1445161,486.193,486.537,ns,,,,,
"BM_LinearAllocator/64/64",1445161,483.644,475.726,ns,,,,,
"BM_LinearAllocator/512/64",1493333,475.842,481.306,ns,,,,,
"BM_LinearAllocator/4096/64",1445161,478.228,475.726,ns,,,,,
"BM_LinearAllocator/32768/64",1493333,482.638,481.306,ns,,,,,
"BM_LinearAllocator/262144/64",1120000,478.708,474.33,ns,,,,,
"BM_LinearAllocator/2097152/64",1120000,476.525,474.33,ns,,,,,
"BM_LinearAllocator/16777216/64",1445161,476.992,475.726,ns,,,,,
"BM_LinearAllocator/32/256",373333,1865.78,1841.52,ns,,,,,
"BM_LinearAllocator/64/256",373333,1856.96,1841.52,ns,,,,,
"BM_LinearAllocator/512/256",373333,1875.62,1883.37,ns,,,,,
"BM_LinearAllocator/4096/256",373333,1872.82,1883.37,ns,,,,,
"BM_LinearAllocator/32768/256",373333,1888.95,1883.37,ns,,,,,
"BM_LinearAllocator/262144/256",373333,1875.96,1841.52,ns,,,,,
"BM_LinearAllocator/2097152/256",373333,1852.32,1841.52,ns,,,,,
"BM_LinearAllocator/16777216/256",373333,1882.86,1883.37,ns,,,,,
"BM_StackAllocator/32/1",112000000,7.26392,7.25446,ns,,,,,
"BM_StackAllocator/64/1",89600000,7.27763,7.32422,ns,,,,,
"BM_StackAllocator/512/1",89600000,7.24069,7.14983,ns,,,,,
"BM_StackAllocator/4096/1",89600000,7.26323,7.14983,ns,,,,,
"BM_StackAllocator/32768/1",89600000,7.37384,7.32422,ns,,,,,
"BM_StackAllocator/262144/1",112000000,7.28425,7.25446,ns,,,,,
"BM_StackAllocator/2097152/1",89600000,7.16084,7.14983,ns,,,,,
"BM_StackAllocator/16777216/1",89600000,7.38108,7.4986,ns,,,,,
"BM_StackAllocator/32/8",11200000,55.492,55.8036,ns,,,,,
"BM_StackAllocator/64/8",11200000,56.7713,54.4085,ns,,,,,
"BM_StackAllocator/512/8",10000000,55.4373,56.25,ns,,,,,
"BM_StackAllocator/4096/8",11200000,57.4224,57.1987,ns,,,,,
"BM_StackAllocator/32768/8",10000000,56.6487,57.8125,ns,,,,,
"BM_StackAllocator/262144/8",8960000,67.2993,66.2667,ns,,,,,
"BM_StackAllocator/2097152/8",7466667,86.8111,85.798,ns,,,,,
"BM_StackAllocator/16777216/8",7466667,95.4733,94.1685,ns,,,,,
"BM_StackAllocator/32/64",1544828,474.139,475.377,ns,,,,,
"BM_StackAllocator/64/64",1120000,491.793,488.281,ns,,,,,
"BM_StackAllocator/512/64",1493333,454.366,460.38,ns,,,,,
"BM_StackAllocator/4096/64",1445161,476.185,475.726,ns,,,,,
"BM_StackAllocator/32768/64",896000,674,662.667,ns,,,,,
"BM_StackAllocator/262144/64",640000,977.985,976.562,ns,,,,,
"BM_StackAllocator/2097152/64",407273,1689.4,1688.06,ns,,,,,
"BM_StackAllocator/16777216/64",407273,1795.51,1803.15,ns,,,,,
"BM_StackAllocator/32/256",373333,1813.27,1799.67,ns,,,,,
"BM_StackAllocator/64/256",407273,1794.13,1803.15,ns,,,,,
"BM_StackAllocator/512/256",407273,1792.46,1803.15,ns,,,,,
"BM_StackAllocator/4096/256",263529,2760.84,2786.7,ns,,,,,
"BM_StackAllocator/32768/256",179200,3811.11,3836.5,ns,,,,,
"BM_StackAllocator/262144/256",144516,4710.58,4649.14,ns,,,,,
"BM_StackAllocator/2097152/256",74667,8457.95,8370.5,ns,,,,,
"BM_StackAllocator/16777216/256",74667,8424.14,8370.5,ns,,,,,
"BM_PoolAllocator<32>/32/1",194782609,3.66714,3.60979,ns,,,,,
"BM_PoolAllocator<32>/32/8",44800000,17.3065,17.4386,ns,,,,,
"BM_PoolAllocator<32>/32/64",5600000,134.555,133.929,ns,,,,,
"BM_PoolAllocator<32>/32/256",1544828,449.835,445.033,ns,,,,,
"BM_PoolAllocator<64>/64/1",194782609,3.63545,3.60979,ns,,,,,
"BM_PoolAllocator<64>/64/8",40727273,16.9989,16.8806,ns,,,,,
"BM_PoolAllocator<64>/64/64",4977778,131.191,131.836,ns,,,,,
"BM_PoolAllocator<64>/64/256",1544828,449.271,445.033,ns,,,,,
"BM_PoolAllocator<512>/512/1",194782609,3.69267,3.69001,ns,,,,,
"BM_PoolAllocator<512>/512/8",34461538,18.5704,18.5896,ns,,,,,
"BM_PoolAllocator<512>/512/64",5600000,143.208,145.089,ns,,,,,
"BM_PoolAllocator<512>/512/256",640000,1145.05,1147.46,ns,,,,,
"BM_PoolAllocator<512>/4096/1",186666667,3.95104,3.93415,ns,,,,,
"BM_PoolAllocator<512>/4096/8",37333333,18.6595,18.8337,ns,,,,,
"BM_PoolAllocator<512>/4096/64",4977778,140.45,141.253,ns,,,,,
"BM_PoolAllocator<512>/4096/256",640000,1135.38,1147.46,ns,,,,,
"BM_PoolAllocator<32768>/32768/1",186666667,3.60063,3.59933,ns,,,,,
"BM_PoolAllocator<32768>/32768/8",37333333,19.3753,19.6708,ns,,,,,
"BM_PoolAllocator<32768>/32768/64",1445161,496.585,486.537,ns,,,,,
"BM_PoolAllocator<32768>/32768/256",165926,4337.22,4425.92,ns,,,,,
"BM_PoolAllocator<262144>/262144/1",186666667,3.59344,3.51562,ns,,,,,
"BM_PoolAllocator<262144>/262144/8",28000000,23.4581,23.4375,ns,,,,,
"BM_PoolAllocator<262144>/262144/64",746667,848.526,837.053,ns,,,,,
"BM_PoolAllocator<262144>/262144/256",100000,5340.32,5312.5,ns,,,,,
"BM_PoolAllocator<2097152>/2097152/1",179200000,3.67461,3.66211,ns,,,,,
"BM_PoolAllocator<2097152>/2097152/8",22400000,33.4419,33.4821,ns,,,,,
"BM_PoolAllocator<2097152>/2097152/64",373333,1853.52,1841.52,ns,,,,,
"BM_PoolAllocator<2097152>/2097152/256",74667,9196.94,9207.55,ns,,,,,
"BM_PoolAllocator<16777216>/16777216/1",186666667,3.66272,3.68304,ns,,,,,
"BM_PoolAllocator<16777216>/16777216/8",17230769,31.7143,31.7383,ns,,,,,
"BM_PoolAllocator<16777216>/16777216/64",344615,1929.89,1904.3,ns,,,,,
"BM_PoolAllocator<16777216>/16777216/256",74667,9025.42,8998.29,ns,,,,,
"BM_FreeListAllocator/32/1",64000000,11.3257,11.2305,ns,,,,,
"BM_FreeListAllocator/64/1",49777778,14.4638,14.4392,ns,,,,,
"BM_FreeListAllocator/512/1",49777778,14.688,14.7531,ns,,,,,
"BM_FreeListAllocator/4096/1",49777778,15.3065,15.3809,ns,,,,,
"BM_FreeListAllocator/32768/1",44800000,15.3171,15.346,ns,,,,,
"BM_FreeListAllocator/262144/1",44800000,15.0819,14.9972,ns,,,,,
"BM_FreeListAllocator/2097152/1",44800000,15.41,15.346,ns,,,,,
"BM_FreeListAllocator/16777216/1",44800000,15.3858,15.346,ns,,,,,
"BM_FreeListAllocator/32/8",6400000,111.104,112.305,ns,,,,,
"BM_FreeListAllocator/64/8",5600000,122.443,122.768,ns,,,,,
"BM_FreeListAllocator/512/8",5600000,121.125,119.978,ns,,,,,
"BM_FreeListAllocator/4096/8",4977778,138.366,138.114,ns,,,,,
"BM_FreeListAllocator/32768/8",4977778,145.623,147.531,ns,,,,,
"BM_FreeListAllocator/262144/8",4480000,156.358,156.948,ns,,,,,
"BM_FreeListAllocator/2097152/8",3446154,210.472,213.1,ns,,,,,
"BM_FreeListAllocator/16777216/8",3200000,210.247,209.961,ns,,,,,
"BM_FreeListAllocator/32/64",746667,980.745,983.538,ns,,,,,
"BM_FreeListAllocator/64/64",560000,1068.18,1060.27,ns,,,,,
"BM_FreeListAllocator/512/64",746667,1050.25,1046.32,ns,,,,,
"BM_FreeListAllocator/4096/64",497778,1307.65,1286.97,ns,,,,,
"BM_FreeListAllocator/32768/64",448000,1464.34,1325.33,ns,,,,,
"BM_FreeListAllocator/262144/64",373333,1985.33,2008.93,ns,,,,,
"BM_FreeListAllocator/2097152/64",248889,2839.29,2825.05,ns,,,,,
"BM_FreeListAllocator/16777216/64",235789,2931.44,2915.74,ns,,,,,
"BM_FreeListAllocator/32/256",172308,3853.73,3808.59,ns,,,,,
"BM_FreeListAllocator/64/256",160000,4120.7,4101.56,ns,,,,,
"BM_FreeListAllocator/512/256",160000,4492.94,4492.19,ns,,,,,
"BM_FreeListAllocator/4096/256",112000,5687.74,5719.87,ns,,,,,
"BM_FreeListAllocator/32768/256",74667,7914.47,7742.71,ns,,,,,
"BM_FreeListAllocator/262144/256",89600,7569.54,7498.6,ns,,,,,
"BM_FreeListAllocator/2097152/256",64000,11546.4,11474.6,ns,,,,,
"BM_FreeListAllocator/16777216/256",64000,11969.7,12207,ns,,,,,
